gene	annotation
LOC100570737	GO:0016021
LOC100570737	GO:0006511
LOC100570737	GO:0030145
LOC100570737	GO:0004803
LOC100570737	GO:0004177
LOC100570737	GO:0006355
LOC100570737	GO:0043565
LOC100570737	GO:0005524
LOC100570737	GO:0016887
LOC100570737	GO:0004843
LOC100570737	GO:0008235
LOC100570737	GO:0006313
LOC100570737	GO:0016579
LOC100570737	GO:0006812
LOC100570737	GO:0005737
LOC100570737	GO:0005634
LOC100169371	GO:0030170
LOC100169371	GO:0003676
LOC100169371	GO:0005622
LOC100169371	GO:0008270
LOC100166428	GO:0090502
LOC100166428	GO:0016075
LOC100166428	GO:0004525
LOC100166428	GO:0003723
LOC100166428	GO:0006396
LOC100166428	GO:0046872
LOC100166428	GO:0003677
LOC100166428	GO:0005524
LOC100166702	GO:0005886
LOC100166702	GO:0050909
LOC100166702	GO:0016021
LOC100169083	GO:0008168
LOC100169083	GO:0032259
LOC100159663	GO:0016787
LOC100573818	GO:0003676
LOC100573818	GO:0015074
LOC100163186	GO:0003676
LOC100163186	GO:0046983
LOC100163186	GO:0006511
LOC100163186	GO:0008270
LOC100165134	GO:0003676
LOC100165134	GO:0005634
LOC100165134	GO:0008270
LOC103308806	GO:0005488
LOC100160958	GO:0016740
LOC100159936	GO:0030097
LOC100159936	GO:0008270
LOC100159936	GO:0006355
LOC100159936	GO:0043565
LOC100159936	GO:0005634
LOC100159936	GO:0003700
LOC100159623	GO:0003676
LOC100159623	GO:0005524
LOC100159623	GO:0004386
LOC100168403	GO:0071139
LOC100168403	GO:0030915
LOC100168403	GO:0000724
LOC100162092	GO:0005662
LOC100162092	GO:0005515
LOC100162092	GO:0003684
LOC100162092	GO:0003840
LOC100162092	GO:0000784
LOC100162092	GO:0019985
LOC100162092	GO:0016605
LOC100162092	GO:0000724
LOC100162092	GO:0003697
LOC100162092	GO:0033683
LOC100162092	GO:0006284
LOC100162092	GO:0000723
LOC100162092	GO:0006749
LOC100162092	GO:0050794
LOC100162092	GO:0006298
LOC100162092	GO:0006260
LOC103309882	GO:0043229
LOC103309882	GO:0017111
LOC103309882	GO:0003677
LOC103309882	GO:0007018
LOC100568657	GO:0016021
LOC100165571	GO:0005509
LOC100158700	GO:0004396
LOC100158700	GO:0005623
LOC100158700	GO:0001678
LOC100158700	GO:0005536
LOC100158700	GO:0046835
LOC100158700	GO:0005524
LOC100158700	GO:0006096
LOC107884448	GO:0046872
LOC107884448	GO:0016020
LOC100159421	GO:0006357
LOC100159421	GO:0004364
LOC100159421	GO:0042302
LOC100159421	GO:0000978
LOC100159421	GO:0000982
LOC100159421	GO:0005634
LOC103310448	GO:0004518
LOC100162014	GO:0003993
LOC100162014	GO:0016311
LOC100162014	GO:0005794
LOC100162014	GO:0008565
LOC100162014	GO:0016192
LOC100162014	GO:0006886
LOC100162014	GO:0030131
LOC103310532	GO:0005488
LOC100158976	GO:0003676
LOC100158976	GO:0046872
LOC100159140	GO:0004018
LOC100159140	GO:0044208
LOC100159140	GO:0070626
LOC100159140	GO:0006189
LOC103310846	GO:0003676
LOC103310846	GO:0015074
LOC107885278	GO:0032508
LOC107885278	GO:0003678
LOC107885278	GO:0006281
LOC107885278	GO:0000723
LOC100570352	GO:0008270
LOC100569964	GO:0008233
LOC100569964	GO:0006631
LOC100569964	GO:0016020
LOC100167253	GO:0016021
LOC100167253	GO:0003779
LOC100167253	GO:0055085
LOC100167253	GO:0022857
LOC100169459	GO:0003676
LOC100572170	GO:0016021
LOC100572170	GO:0005328
LOC100572170	GO:0006836
LOC100572170	GO:0055085
LOC100168283	GO:0016180
LOC100168283	GO:0016021
LOC100168283	GO:0032039
LOC100570060	GO:0016021
LOC100570060	GO:0003723
LOC100164165	GO:0006470
LOC100164165	GO:0004721
LOC100164165	GO:0016021
LOC100164165	GO:0046872
